gene_name,gene_index,log2FC,p_value,adj_p_value
YES1,8303,2.852799,0.002927605115249131,0.01364903123845492
ARL2-SNX15,8304,2.398055,0.003157893815897308,0.014461568123429306
PSG7,8305,-0.921389,0.33991449081072955,0.44019295230803807
SCN1B,8306,4.664662,5.785434743507179e-07,1.9060008341443967e-05
KIAA1211L,8307,2.209602,0.00641152549490758,0.02442727978634195
PDCD11,8308,1.992062,0.025420661364192444,0.06655314943999406
TNFSF11,8309,1.831814,0.06984293915555127,0.1407503830097704
LILRB4,8310,3.215527,0.0003825964989388408,0.0029217820049155766
ZNF74,8311,1.075914,0.18577159893848558,0.2879986048699327
FAM3D,8312,0.080862,0.9332816268496511,0.9815599685332573
ELMO3,8313,1.101961,0.2254026124779295,0.33370833910180275
KBTBD6,8314,1.497229,0.0489063548270513,0.10773835362269235
CLDN12,8315,1.049281,0.26572926827860893,0.3783430161420015
IGHV1-24,8316,4.597524,6.953021719851252e-07,2.202245435216622e-05
GTF2F2,8317,2.532144,0.0027401121714565953,0.012989160223740708
ZNF263,8318,1.44641,0.09735582574683453,0.17881848993458765
SULT1A3,8319,0.229255,0.7674388450626348,0.8440413491084111
MED29,8320,2.222249,0.010961210383751002,0.03585369513037996
